"ANOENC"	"NUMERO"	"CLAVE"	"CLATEO"	"CCAA"	"NUTS1"	"CAPROV"	"TAMAMU"	"DENSIDAD"	"FACTOR"	"NMIEMB"	"TAMANO"	"NMIEMSD"	"NMIEMHU"	"NMIEMIN"	"NMIEM1"	"NMIEM2"	"NMIEM3"	"NMIEM4"	"NMIEM5"	"NMIEM6"	"NMIEM7"	"NMIEM8"	"NMIEM9"	"NMIEM10"	"NMIEM11"	"NMIEM12"	"NMIEM13"	"NUMACTI"	"NUMINACTI"	"NUMOCUP"	"NUMNOCUP"	"NUMESTU"	"NUMNOESTU"	"NNINOSD"	"NHIJOSD"	"UC1"	"UC2"	"PF2TEO"	"PF2RECO"	"TIPHOGAR1"	"TIPHOGAR2"	"TIPHOGAR3"	"TIPHOGAR4"	"TIPHOGAR5"	"TIPHOGAR6"	"TIPHOGAR7"	"TIPHOGAR8"	"TIPHOGAR9"	"TIPHOGAR10"	"TIPHOGAR11"	"NORDENSP"	"EDADSP"	"SEXOSP"	"PAISNACSP"	"NACIONASP"	"PAISSP"	"SITURESSP"	"UNIONSP"	"ESTADOCIVILSP"	"NORDENCOSP"	"NORDENP1SP"	"NORDENP2SP"	"PAISPADRESP"	"PAISMADRESP"	"ESTUDIOSSP"	"ESTUDREDSP"	"SITUACTSP"	"SITUREDSP"	"JORNADASP"	"OCUSP"	"PERCEPSP"	"IMPEXACPSP"	"INTERINPSP"	"TRABAJO"	"OCUPA"	"OCUPARED"	"ACTESTB"	"ACTESTBRED"	"SITPROF"	"SECTOR"	"CONTRATO"	"TIPOCONT"	"SITSOCI"	"SITSOCIRE"	"REGTEN"	"TIPOEDIF"	"ZONARES"	"TIPOCASA"	"NHABIT"	"ANNOCON"	"SUPERF"	"AGUACALI"	"FUENAGUA"	"CALEF"	"FUENCALE"	"VALOREST"	"CAPITPDTE"	"CAPITMENS"	"INTERESMENS"	"DISPOSIOV"	"NUMOVD"	"GASTOT"	"IMPUTGAS"	"GASTMON"	"GASTNOM1"	"GASTNOM2"	"GASTNOM3"	"GASTNOM4"	"GASTOTGR01"	"GASTOTGR02"	"GASTOTGR03"	"GASTOTGR04"	"GASTOTGR05"	"GASTOTGR06"	"GASTOTGR07"	"GASTOTGR08"	"GASTOTGR09"	"GASTOTGR10"	"GASTOTGR11"	"GASTOTGR12"	"GASTOTGR13"	"CAPROP"	"CAJENA"	"PENSIOJUB"	"PENSIOINCAP"	"PENSIOTR"	"DESEM"	"OTRSUB"	"RENTAS"	"OTROIN"	"FUENPRIN"	"FUENPRINRED"	"IMPEXAC"	"INTERIN"	"NUMPERI"
2024	06886	1	2	12	1	6	2	1	1646.665165	3	3	0	0	0	3	0	0	3	0	3	0	0	0	1	1	1	0	2	1	2	1	0	3	0	0	2.4	2	2	2	10						07	04				01	74	6	1	1		1		3	99	99	99	1	1	3	2	3	2		2	1	2000	-9	1	5	3	P	3	1	6	1	1	08	5	2	4	2	2	6	6	110	1	3	1	4	300000	125000	700	-0.09	6		101781020.88	0	87044937.68	0	0	0	14736083.2	15781883.32	0	4691368.1	22798155.85	2094126.16	1643496.65	17178510.27	4692995.72	16357663.05	0	4663280.98	2964655.96	8914884.82	6	1	1	6	1	6	6	1	6	3	3	5998	08	3
2024	06887	2	2	06	1	6	5	3	152.257209	5	5	0	0	0	2	3	3	2	3	2	1	2	0	0	2	0	0	2	3	2	3	0	5	3	3	3.2	2.4	1	1	09						06	03				01	44	6	1	1		1		2	02	99	99	1	1	7	4	1	1	1	1	1	-9	04	1	4	3	N	3	1	6	1	1	02	2	1	2	4	2	4	1	80	1	4	1	4	100000				6		5267420.51	4.81	4441526.22	0	0	0	825894.29	735424.79	55035.83	362471.15	1071564.34	23294.25	410832.51	711394.97	82218.89	606998.74	167482.93	442821.51	205547.23	392333.36	6	1	6	6	6	6	6	6	6	2	2		07	2
2024	06888	1	1	07	4	1	1	1	999.06566	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	0	2	0	2	0	2	0	0	1.7	1.5	1	1	05						03	01				02	66	6	1	1		1	1	2	01	99	99	1	1	6	4	3	2		2	1	-9	02	1	2	2	P	3	1	1	1	1	08	5	1	4	2	2	5	6	65	1	5	1	5	280000				1	1	50254576.68	0	36363043.33	0	0	0	13891533.34	4092115.38	123883.68	1385704.07	16768842.44	0	8392151.54	53949.55	1039028.29	16550630.25	0	0	1848271.47	0	6	6	1	6	6	6	6	6	6	3	3		04	2
2024	06889	1	1	07	4	1	1	1	660.979618	4	4	0	0	0	2	2	2	2	2	2	0	2	0	0	2	0	0	2	2	1	3	0	4	2	2	2.7	2.1	1	0	08						05	03				01	49	1	1	1		1		-9	02	99	99	1	1	4	3	2	1		2	1	1325	-9	1	3	2	H	3	1	6	1	1	07	4	2	1	3	1	7	1	200	1	4	1	4	270000	-9	-0.09	-0.09	6		27419949	6.24	19176759.85	0	0	0	8243189.15	3058368.75	78629.62	110459.72	10742732.56	1067777.85	1899060.61	4668128.34	484135.39	874934.69	2247330.7	1348117.45	490446.88	349826.42	6	1	6	6	6	1	6	6	6	6	3	2625	06	2
2024	06890	2	2	16	2	6	5	2	470.180527	4	4	0	0	0	4	0	0	4	0	4	0	0	1	1	2	0	0	3	1	2	2	1	3	1	1	3.1	2.5	3	3	11						05	04				01	56	6	1	1		1		2	02	99	99	1	1	6	4	1	1	1	1	1	-9	03	1	4	3	H	3	1	1	1	1	04	2	1	4	2	2	6	1	100	1	2	1	2	-9				6		13200357.05	0	9441846.84	0	0	0	3758510.21	1739204.48	720541.58	1132664.89	4767056.84	81190.66	0	26734.46	411878.14	0	465478.72	2905211.89	576027.57	374367.81	6	1	6	6	6	1	6	6	6	2	2		07	3
2024	06891	2	2	01	6	6	5	3	1152.203736	4	4	0	0	0	4	0	0	4	0	4	0	0	2	0	2	0	0	2	2	2	2	2	2	2	2	3.1	2.5	3	3	11						05	04				01	55	1	1	1		1		2	02	99	99	1	1	3	2	1	1	1	1	1	-9	03	1	6	4	A	1	2				06	3	1	2	4	2	7	1	200	1	1	1	5	200000				6		53390677.18	0	44691586.26	345661.12	0	0	8353429.8	11007225.91	109262.43	4906467.58	19476804.66	1880599.26	560739.15	7596000.7	1382644.48	616890.01	460881.49	2807542.83	869452.94	1716165.74	1	6	6	6	6	6	6	6	6	1	1		06	2
2024	06892	1	1	10	5	6	2	1	855.264972	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	02						01	02				01	57	6	1	1		1		1	99	99	99	1	1	7	4	1	1	1	1	1	-9	05	1	2	2	P	3	1	1	1	2	04	2	1	4	2	2	4	6	60	1	3	1	1	-9				6		7717480.36	0	3286960.35	0	0	0	4430520.01	133105.97	0	208114.48	5095916.16	12828.97	0	62434.34	205263.59	1026317.97	0	190832.94	401974.54	380691.4	6	1	6	6	6	6	6	6	6	2	2		05	1
2024	06893	1	2	02	2	6	5	2	307.362322	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	1.7	1.5	1	0	06						03	02				02	47	1	1	1		1	1	2	01	99	99	1	1	4	3	1	1	1	1	1	-9	-9	1	8	4	H	3	2				05	3	1	2	4	1	6	1	170	1	1	1	5	200000				6		7517071.46	19.09	5113969.86	0	0	0	2403101.6	2261446.08	64345.8	27527.33	2802197.65	136341.33	567350.88	430153.89	202804.5	46291.86	0	421593.86	342493.84	214524.43	1	1	6	6	6	6	6	6	6	1	1		05	2
2024	06894	1	2	07	4	6	5	3	778.943855	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	1.7	1.5	1	1	06						03	02				02	49	6	1	1		1	1	2	01	99	99	1	1	4	3	1	1	1	1	1	-9	03	1	8	4	C	2	1	6	1	1	01	1	1	1	4	2	5	6	100	1	4	1	4	50000				6		15569717.43	0	9361251.81	0	0	2824308.76	3384156.86	4609688.91	0	0	4566593.63	92115.92	0	2064000.41	467366.31	312846.51	0	3067633.82	389471.93	0	6	1	6	6	6	6	6	6	6	2	2		05	2
2024	06895	1	1	07	4	6	4	2	640.235241	4	4	0	0	0	4	0	0	4	0	4	0	0	1	1	2	0	0	4	0	4	0	0	4	0	0	3.1	2.5	3	3	11						05	04				01	54	1	1	1		1		2	02	99	99	1	1	3	2	1	1	1	1	1	-9	03	1	8	4	F	2	1	6	1	1	01	1	2	4	2	2	6	6	119	1	1	1	1	150000	1600	316.19	7.22	6		27281187.61	8.64	23915518.6	0	0	0	3365669.02	9177968.05	724755.12	2505254.42	5221538.14	1051012.34	160659.65	3827553.83	1214470.29	333876.54	0	1941006.97	824622.99	298469.28	1	1	6	6	6	6	6	6	6	2	2		07	4
